"OwnId";"Landuse";"Field";"Plot";"OnFarm";"Irrigate";"Fertilised";"N_Natural";"Bottom";"PH";"PercClay";"PercSilt";"PercSand";"Class";"PercTotNitro";"PercSOC";"PercTotPhos";"BulkDensity";"Lat";"Long"
"104";"Natural";"4";"18";3;0;0;0;0;30;5.3;37.6;27.28;35.12;"clay loam";0.14;1.960636364;0.062296417;0.956094029;-8.36246873;36.11368473
"105";"Natural";"4";"18";3;0;0;0;0;40;5.53;47.6;21.28;31.12;"clay";0.13;1.772727273;0.070846906;1.099457193;-8.36246873;36.11368473
"106";"Natural";"4";"18";3;0;0;0;0;50;5.58;45.6;27.28;27.12;"clay";0.12;1.755;0.070439739;1.018970056;-8.36246873;36.11368473
"107";"Natural";"4";"18";3;0;0;0;0;60;5.52;47.6;25.28;27.12;"clay";0.12;1.428818182;0.064332248;1.065690437;-8.36246873;36.11368473
"108";"Natural";"4";"18";3;0;0;0;0;80;5.65;41.6;35.28;23.12;"clay";0.1;1.134545455;0.103013029;1.054046729;-8.36246873;36.11368473
"109";"Natural";"4";"19";4;0;0;0;0;20;5.72;39.6;31.28;29.12;"clay loam";0.17;2.304545455;0.100162866;0.996410371;-8.376467606;36.14288416
"110";"Natural";"4";"19";4;0;0;0;0;30;5.09;45.6;11.28;43.12;"clay";0.11;2.010272727;0.066368078;1.074132126;-8.376467606;36.14288416
"111";"Natural";"4";"19";4;0;0;0;0;40;5.2;45.6;15.28;39.12;"clay";0.14;3.013636364;0.085912052;1.184165173;-8.376467606;36.14288416
"112";"Natural";"4";"19";4;0;0;0;0;50;5.12;45.6;13.28;41.12;"clay";0.13;3.891136364;0.048452769;1.161751034;-8.376467606;36.14288416
"113";"Natural";"4";"19";4;0;0;0;0;60;5.19;49.6;9.28;41.12;"clay";0.11;1.659272727;0.0997557;1.298564611;-8.376467606;36.14288416
"114";"Natural";"4";"19";4;0;0;0;0;80;5.54;47.6;17.28;35.12;"clay";0.08;1.315363636;0.164495114;1.256792806;-8.376467606;36.14288416
"115";"Natural";"4";"20";5;0;0;0;0;20;5.88;45.6;15.28;39.12;"clay";0.19;2.304545455;0.129885993;1.119397044;-8.377435528;36.14430142
"116";"Natural";"4";"20";5;0;0;0;0;30;5.33;45.6;21.28;33.12;"clay";0.15;2.542090909;0.129071661;1.15592918;-8.377435528;36.14430142
"117";"Natural";"4";"20";5;0;0;0;0;40;5.42;51.6;19.28;29.12;"clay";0.11;1.875545455;0.036644951;1.27382173;-8.377435528;36.14430142
"118";"Natural";"4";"20";5;0;0;0;0;50;5.37;57.6;17.28;25.12;"clay";0.1;1.602545455;0.048452769;1.267126598;-8.377435528;36.14430142
"119";"Natural";"4";"20";5;0;0;0;0;60;5.39;55.6;17.28;27.12;"clay";0.09;1.081363636;0.060260586;1.077916332;-8.377435528;36.14430142
